Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2021-03-24,Rear Delt Machine Fly,Shoulders,25.0,10,,,,""
2021-03-24,Rear Delt Machine Fly,Shoulders,30.0,5,,,,""
2021-03-24,Rear Delt Machine Fly,Shoulders,25.0,8,,,,""
2021-03-24,Lateral Dumbbell Raise,Shoulders,5.0,12,,,,""
2021-03-24,Lateral Dumbbell Raise,Shoulders,7.5,7,,,,""
2021-03-24,Lateral Dumbbell Raise,Shoulders,7.5,7,,,,""
2021-03-26,Flat Dumbbell Bench Press,Chest,12.5,12,,,,""
2021-03-26,Flat Dumbbell Bench Press,Chest,15.0,10,,,,""
2021-03-26,Flat Dumbbell Bench Press,Chest,17.5,4,,,,""
2021-03-26,Incline Dumbbell Bench Press,Chest,12.5,10,,,,""
2021-03-26,Incline Dumbbell Bench Press,Chest,12.5,7,,,,""
2021-03-26,Incline Dumbbell Bench Press,Chest,12.5,7,,,,""
2021-03-26,Seated Machine Fly,Chest,35.0,8,,,,""
2021-03-26,Seated Machine Fly,Chest,40.0,8,,,,""
2021-03-26,Seated Machine Fly,Chest,40.0,5,,,,""
2021-03-26,Rope Push Down,Triceps,30.0,11,,,,""
2021-03-26,Rope Push Down,Triceps,30.0,10,,,,""
2021-03-26,Rope Push Down,Triceps,35.0,7,,,,""
2021-03-26,Reverse Grip Pushdown,Triceps,25.0,12,,,,""
2021-03-26,Reverse Grip Pushdown,Triceps,30.0,8,,,,""
2021-03-26,Reverse Grip Pushdown,Triceps,30.0,4,,,,""
2021-03-26,Reverse Grip Pushdown,Triceps,35.0,5,,,,""
2021-03-26,Dumbbell Overhead Triceps Extension,Triceps,12.5,8,,,,""
2021-03-26,Dumbbell Overhead Triceps Extension,Triceps,12.5,5,,,,""
2021-03-27,Pull Up,Back,0.0,5,,,,""
2021-03-27,Pull Up,Back,0.0,6,,,,""
2021-03-27,Lat Pulldown,Back,35.0,12,,,,""
2021-03-27,Lat Pulldown,Back,40.0,8,,,,""
2021-03-27,Lat Pulldown,Back,40.0,5,,,,""
2021-03-27,Lat Pulldown,Back,40.0,3,,,,""
2021-03-27,Dumbbell Row,Back,15.0,12,,,,""
2021-03-27,Dumbbell Row,Back,17.5,8,,,,""
2021-03-27,Dumbbell Row,Back,17.5,8,,,,""
2021-03-27,Cable Curl,Biceps,35.0,12,,,,""
2021-03-27,Cable Curl,Biceps,40.0,8,,,,""
2021-03-27,Cable Curl,Biceps,40.0,8,,,,""
2021-03-27,Dumbbell Curl,Biceps,10.0,7,,,,""
2021-03-27,Dumbbell Curl,Biceps,7.5,12,,,,""
2021-03-27,Hammer Curls,Biceps,7.5,10,,,,""
2021-03-27,Hammer Curls,Biceps,7.5,12,,,,""
2021-03-27,Hammer Curls,Biceps,10.0,7,,,,""
2021-03-27,Hammer Curls,Biceps,7.5,6,,,,""
2021-03-27,Reverse Grip Cable Curl,Biceps,20.0,12,,,,""
2021-03-27,Reverse Grip Cable Curl,Biceps,25.0,8,,,,""
2021-03-27,Reverse Grip Cable Curl,Biceps,25.0,7,,,,""
2021-03-30,Cable Lateral Raise,Shoulders,10.0,12,,,,""
2021-03-30,Cable Lateral Raise,Shoulders,10.0,10,,,,""
2021-03-30,Cable Lateral Raise,Shoulders,10.0,10,,,,""
2021-03-30,Arnold Dumbbell Press,Shoulders,10.0,12,,,,""
2021-03-30,Arnold Dumbbell Press,Shoulders,12.5,8,,,,""
2021-03-30,Arnold Dumbbell Press,Shoulders,12.5,5,,,,""
2021-03-30,Rear Delt Machine Fly,Shoulders,20.0,12,,,,""
2021-03-30,Rear Delt Machine Fly,Shoulders,25.0,10,,,,""
2021-03-30,Rear Delt Machine Fly,Shoulders,30.0,7,,,,""
2021-04-01,Flat Dumbbell Bench Press,Chest,10.0,12,,,,""
2021-04-01,Flat Dumbbell Bench Press,Chest,12.5,12,,,,""
2021-04-01,Flat Dumbbell Bench Press,Chest,15.0,10,,,,""
2021-04-01,Decline Dumbbell Press,Chest,10.0,8,,,,""
2021-04-01,Decline Dumbbell Press,Chest,10.0,9,,,,""
2021-04-01,Decline Dumbbell Press,Chest,12.5,9,,,,""
2021-04-01,Incline Dumbbell Bench Press,Chest,12.5,8,,,,""
2021-04-01,Incline Dumbbell Bench Press,Chest,10.0,10,,,,""
2021-04-01,Seated Machine Fly,Chest,35.0,10,,,,""
2021-04-01,Seated Machine Fly,Chest,40.0,8,,,,""
2021-04-01,Seated Machine Fly,Chest,40.0,5,,,,""
2021-04-01,Rope Push Down,Triceps,30.0,11,,,,""
2021-04-01,Rope Push Down,Triceps,35.0,8,,,,""
2021-04-01,Rope Push Down,Triceps,35.0,6,,,,""
2021-04-01,Reverse Grip Pushdown,Triceps,30.0,8,,,,""
2021-04-01,Reverse Grip Pushdown,Triceps,30.0,9,,,,""
2021-04-01,Reverse Grip Pushdown,Triceps,30.0,9,,,,""
2021-04-01,Dumbbell Overhead Triceps Extension,Triceps,10.0,12,,,,""
2021-04-01,Dumbbell Overhead Triceps Extension,Triceps,12.5,7,,,,""
2021-04-01,Dumbbell Overhead Triceps Extension,Triceps,10.0,10,,,,""
2021-04-01,Lying Triceps Extension,Triceps,5.0,10,,,,""
2021-04-02,Pull Up,Back,0.0,5,,,,""
2021-04-02,Pull Up,Back,0.0,4,,,,""
2021-04-02,Pull Up,Back,0.0,2,,,,""
2021-04-02,Lat Pulldown,Back,35.0,12,,,,""
2021-04-02,Lat Pulldown,Back,40.0,6,,,,""
2021-04-02,Lat Pulldown,Back,40.0,5,,,,""
2021-04-02,Dumbbell Row,Back,15.0,10,,,,""
2021-04-02,Dumbbell Row,Back,17.5,9,,,,""
2021-04-02,Dumbbell Row,Back,17.5,6,,,,""
2021-04-02,Cable Curl,Biceps,35.0,12,,,,""
2021-04-02,Cable Curl,Biceps,40.0,8,,,,""
2021-04-02,Cable Curl,Biceps,40.0,6,,,,""
2021-04-02,Preacher Curl,Biceps,7.5,12,,,,""
2021-04-02,Preacher Curl,Biceps,10.0,8,,,,""
2021-04-02,Preacher Curl,Biceps,10.0,7,,,,""
